"","learn","x","agelfted","sex","datyear"
"1339",9.03419967425731,62,16,"male",84
"1340",8.020441404801,64,16,"female",84
"1341",8.59899438809898,45,14,"male",84
"1342",8.88052434178356,50,16,"male",84
"1343",7.96021190620322,51,16,"female",84
"1344",8.98168163997386,58,15,"male",84
"1345",8.36863744271022,60,15,"female",84
"1347",8.85651849701986,49,15,"male",84
"1356",9.13235285888543,55,15,"male",84
"1357",8.10480016108576,58,16,"female",84
"1370",9.36734412078585,43,14,"male",84
"1371",7.38393979459953,50,14,"female",84
"1376",9.09068260647864,42,16,"male",84
"1377",8.64963099312407,49,16,"female",84
"1378",8.42767099450018,42,16,"male",84
"1380",8.73873546136347,39,14,"male",84
"1382",7.65056847237294,63,15,"male",84
"1385",9.43346470435571,45,15,"female",84
"1387",8.70414399067246,65,15,"male",84
"1388",5.74300318780948,65,16,"female",84
"1390",8.9211959026181,59,15,"male",84
"1391",7.39134125221173,62,15,"female",84
"1392",9.77295734381477,50,20,"female",84
"1394",9.14180878498519,51,20,"female",84
"1395",8.77955745588373,53,16,"male",84
"1405",8.84803822711909,40,14,"male",84
"1406",7.6889133368648,44,14,"female",84
"1411",8.61241609823625,63,18,"male",84
"1413",8.55641390456952,65,15,"female",84
"1419",9.18192442033829,37,14,"male",84
"1420",8.536211197252,63,30,"male",84
"1424",9.31820055383246,62,15,"male",84
"1425",8.49793700268593,63,20,"female",84
"1426",8.35674266357953,36,14,"male",84
"1427",9.42531951313731,60,16,"male",84
"1428",7.41697962138115,62,14,"female",84
"1429",8.00632752778616,60,15,"male",84
"1431",8.56378665517051,59,16,"male",84
"1433",8.81368834073571,40,14,"female",84
"1435",9.16889318206201,49,15,"male",84
"1436",8.45105338891169,65,14,"female",84
"1439",8.67277373577659,59,16,"male",84
"1446",9.34300586247189,51,21,"male",84
"1450",9.15903443359422,65,18,"male",84
"1451",9.1483585796203,63,18,"female",84
"1459",6.34549597011491,48,15,"female",84
"1461",8.81877816903701,54,15,"male",84
"1462",8.485240036718,54,16,"female",84
"1468",8.39671452140545,39,18,"female",84
"1471",8.5267791303917,54,15,"female",84
"1476",9.23536077001586,51,16,"male",84
"1482",8.5762165318657,65,15,"male",84
"1486",8.80022248870417,39,14,"female",84
"1490",8.61713264313896,43,15,"female",84
"1492",9.25335383846667,39,16,"male",84
"1493",7.76939552490218,47,15,"female",84
"1495",8.90868917888196,57,15,"male",84
"1497",9.03326903207913,44,14,"male",84
"1499",8.97116903477626,51,15,"male",84
"1502",8.73873546136347,63,15,"male",84
"1507",8.51715315155215,51,15,"male",84
"1508",8.00632752778616,55,15,"female",84
"1511",8.67036741810576,48,15,"male",84
"1512",7.30918556542567,54,15,"female",84
"1514",4.36335332665567,64,16,"female",84
"1515",8.51715315155215,56,14,"male",84
"1520",9.12144362504308,39,14,"male",84
"1528",8.96374394678522,38,14,"male",84
"1530",8.69617584694468,43,14,"male",84
"1531",8.28644074867814,50,16,"female",84
"1534",9.16948918188,45,14,"male",84
"1540",8.97945692280837,42,14,"male",84
"1541",8.57238571474067,43,14,"female",84
"1542",9.39262188890605,49,15,"male",84
"1545",8.70939247883624,48,15,"male",84
"1546",7.08673793451058,50,15,"female",84
"1550",7.80139132029149,38,14,"male",84
"1553",9.51192534959696,58,16,"male",84
"1554",8.27696451456074,61,35,"female",84
"1560",7.45680110146869,45,14,"female",84
"1561",8.46210322509828,49,14,"male",84
"1562",6.84161547647759,51,15,"female",84
"1566",8.82345953380404,44,16,"male",84
"1570",8.36791332844489,50,15,"male",84
"1571",8.45659356928731,45,14,"male",84
"1572",8.46561356903416,40,14,"male",84
"1573",8.16544325094122,48,16,"female",84
"1575",8.60520406873895,43,14,"male",84
"1576",6.60307621981935,46,14,"female",84
"1580",8.77955745588373,40,14,"male",84
"1585",8.56338949965644,60,15,"male",84
"1587",8.25800784344472,41,14,"female",84
"1588",8.92928693255525,52,15,"male",84
"1590",6.65929391968364,39,14,"female",84
"1593",8.69947470834611,63,32,"male",84
"1596",6.47936948374239,59,15,"female",84
"1598",3.5204607799168,64,15,"male",84
"1608",8.55641390456952,42,15,"male",84
"1611",8.65172408437384,44,14,"male",84
"1612",8.26873183211774,48,15,"female",84
"1618",7.67693714581808,35,14,"female",84
"1619",8.9998810492745,46,14,"male",84
"1633",8.52026843846189,43,14,"male",84
"1635",9.68283588900623,59,15,"male",84
"1642",9.83612473432366,44,14,"male",84
"1643",8.80530317523058,57,15,"female",84
"1644",10.0475862054911,51,18,"male",84
"1646",7.74064699347767,52,15,"male",84
"1647",8.91121712158265,51,19,"female",84
"1650",8.96187901267768,36,14,"male",84
"1651",5.04985600724954,40,14,"female",84
"1657",6.31586425544619,64,15,"female",84
"1660",9.10187282093743,53,15,"male",84
"1661",7.52751421780345,56,15,"female",84
"1664",9.12081817506013,59,15,"female",84
"1665",9.03593455135114,43,14,"male",84
"1670",6.89304767488565,49,15,"female",84
"1672",7.35244110024358,57,15,"female",84
"1673",8.43864332235497,49,15,"male",84
"1676",8.21350095524115,48,16,"male",84
"1682",8.39601035221001,48,15,"female",84
"1683",9.14841385325494,59,18,"male",84
"1684",8.23510611482663,61,16,"female",84
"1685",8.79700435472326,40,14,"male",84
